From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	PubMed ID
ENO1	A4QMW8	unreviewed	A4QMW8_HUMAN	phosphopyruvate hydratase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)	ENO1	Homo sapiens (Human)	135	glycolytic process [GO:0006096]	phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	GO:0000015; GO:0000287; GO:0004634; GO:0006096	15489334
ENO1	K7EM90	unreviewed	K7EM90_HUMAN	phosphopyruvate hydratase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)	ENO1	Homo sapiens (Human)	195	glycolytic process [GO:0006096]	phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	GO:0000015; GO:0000287; GO:0004634; GO:0006096	15592455; 16710414; 19608861; 20068231; 21269460; 22905912; 23186163; 24275569; 25944712
ENO1	K7ERS8	unreviewed	K7ERS8_HUMAN	Alpha-enolase	ENO1	Homo sapiens (Human)	83	glycolytic process [GO:0006096]	phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	GO:0000015; GO:0000287; GO:0004634; GO:0006096	15592455; 16710414; 19608861; 20068231; 21269460; 22905912; 23186163; 24275569; 25944712
ANAPC7	Q9UJX3	reviewed	APC7_HUMAN	Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7)	ANAPC7 APC7	Homo sapiens (Human)	565	anaphase-promoting complex-dependent catabolic process [GO:0031145]; brain development [GO:0007420]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein K11-linked ubiquitination [GO:0070979]; protein ubiquitination [GO:0016567]; regulation of meiotic cell cycle [GO:0051445]; regulation of mitotic cell cycle [GO:0007346]	anaphase-promoting complex [GO:0005680]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; heterochromatin [GO:0000792]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; enzyme-substrate adaptor activity [GO:0140767]; protein phosphatase binding [GO:0019903]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; brain development [GO:0007420]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein K11-linked ubiquitination [GO:0070979]; protein ubiquitination [GO:0016567]; regulation of meiotic cell cycle [GO:0051445]; regulation of mitotic cell cycle [GO:0007346]	GO:0000792; GO:0005634; GO:0005654; GO:0005680; GO:0005737; GO:0005819; GO:0005829; GO:0007091; GO:0007346; GO:0007420; GO:0015630; GO:0016567; GO:0019903; GO:0031145; GO:0045842; GO:0051301; GO:0051445; GO:0070979; GO:0140767	9469815; 15489334; 17974005; 18485873; 18445686; 18669648; 19608861; 21269460; 23186163; 34942119; 16364912; 19091741; 25043029; 26083744
ANAPC7	A0A024RBJ3	unreviewed	A0A024RBJ3_HUMAN	Anaphase promoting complex subunit 7, isoform CRA_b	ANAPC7 hCG_2015782	Homo sapiens (Human)	599				11181995
ANAPC7	A5D8X2	unreviewed	A5D8X2_HUMAN	Anaphase promoting complex subunit 7	ANAPC7	Homo sapiens (Human)	565				15489334
ANAPC7	A8KAQ7	unreviewed	A8KAQ7_HUMAN	ANAPC7 protein	ANAPC7	Homo sapiens (Human)	564				15489334
ANAPC7	H0YIW2	unreviewed	H0YIW2_HUMAN	Anaphase-promoting complex subunit 7	ANAPC7	Homo sapiens (Human)	149				16541075; 21269460
ANAPC7	H0YIX7	unreviewed	H0YIX7_HUMAN	Anaphase-promoting complex subunit 7	ANAPC7	Homo sapiens (Human)	41				16541075; 21269460
ANAPC7	Q2M2R1	unreviewed	Q2M2R1_HUMAN	ANAPC7 protein	ANAPC7	Homo sapiens (Human)	563				15489334
ANAPC7	Q4KMX6	unreviewed	Q4KMX6_HUMAN	ANAPC7 protein	ANAPC7	Homo sapiens (Human)	564				15489334
BNIP1	Q12981	reviewed	SEC20_HUMAN	Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8)	BNIP1 NIP1 SEC20L TRG8	Homo sapiens (Human)	228	apoptotic process [GO:0006915]; endoplasmic reticulum membrane fusion [GO:0016320]; endoplasmic reticulum organization [GO:0007029]; execution phase of apoptosis [GO:0097194]; negative regulation of apoptotic process [GO:0043066]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial membrane [GO:0031966]; nuclear envelope [GO:0005635]; SNARE complex [GO:0031201]; SNAP receptor activity [GO:0005484]; apoptotic process [GO:0006915]; endoplasmic reticulum membrane fusion [GO:0016320]; endoplasmic reticulum organization [GO:0007029]; execution phase of apoptosis [GO:0097194]; negative regulation of apoptotic process [GO:0043066]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0005484; GO:0005635; GO:0005737; GO:0005783; GO:0005789; GO:0006890; GO:0006915; GO:0007029; GO:0016320; GO:0031201; GO:0031966; GO:0043066; GO:0043231; GO:0097194	7954800; 10217402; 15489334; 15272311; 21269460; 21931693; 23896122; 24275569; 25944712
BNIP1	H0YBK7	unreviewed	H0YBK7_HUMAN	Vesicle transport protein SEC20	BNIP1	Homo sapiens (Human)	40	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	membrane [GO:0016020]; SNAP receptor activity [GO:0005484]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0005484; GO:0006890; GO:0016020	15372022; 24275569
FAM241A	Q8N8J7	reviewed	F241A_HUMAN	Uncharacterized protein FAM241A	FAM241A C4orf32	Homo sapiens (Human)	132		Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]	GO:0005794; GO:0016020; GO:0043231	14702039; 15815621; 15489334
HABP4	Q5JVS0	reviewed	HABP4_HUMAN	Intracellular hyaluronan-binding protein 4 (IHABP-4) (IHABP4) (Hyaluronan-binding protein 4) (Ki-1/57 intracellular antigen)	HABP4	Homo sapiens (Human)	413	cellular response to mechanical stimulus [GO:0071260]; mRNA processing [GO:0006397]; negative regulation of DNA binding [GO:0043392]; PML body organization [GO:0030578]; positive regulation of RNA splicing [GO:0033120]; positive regulation of translational initiation [GO:0045948]; RNA splicing [GO:0008380]	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular region [GO:0005576]; Gemini of coiled bodies [GO:0097504]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; sarcomere [GO:0030017]; sarcoplasm [GO:0016528]; RNA binding [GO:0003723]; SUMO binding [GO:0032183]; cellular response to mechanical stimulus [GO:0071260]; mRNA processing [GO:0006397]; negative regulation of DNA binding [GO:0043392]; PML body organization [GO:0030578]; positive regulation of RNA splicing [GO:0033120]; positive regulation of translational initiation [GO:0045948]; RNA splicing [GO:0008380]	GO:0003723; GO:0005576; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0006397; GO:0008380; GO:0010494; GO:0015030; GO:0016528; GO:0016607; GO:0030017; GO:0030578; GO:0031965; GO:0032183; GO:0033120; GO:0043392; GO:0045948; GO:0071260; GO:0097504	10887182; 15164053; 15489334; 9523163; 12505151; 14699138; 15862299; 16455055; 16879614; 18669648; 19523114; 20068231; 21771594; 21406692; 23186163; 24275569; 24129315; 28695742
ATP5MGL	Q7Z4Y8	reviewed	AT5L2_HUMAN	Putative ATP synthase subunit g 2, mitochondrial (ATPase subunit g 2) (ATP synthase membrane subunit g-like protein)	ATP5MGL ATP5K2 ATP5L2	Homo sapiens (Human)	100	proton motive force-driven ATP synthesis [GO:0015986]	mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]	GO:0000276; GO:0005739; GO:0005743; GO:0005753; GO:0015078; GO:0015986	15489334
CACNB3	P54284	reviewed	CACB3_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3)	CACNB3 CACNLB3	Homo sapiens (Human)	484	calcium ion transmembrane transport via high voltage-gated calcium channel [GO:0061577]; calcium ion transport [GO:0006816]; calcium ion transport into cytosol [GO:0060402]; chemical synaptic transmission [GO:0007268]; neuromuscular junction development [GO:0007528]; positive regulation of high voltage-gated calcium channel activity [GO:1901843]; protein localization to plasma membrane [GO:0072659]; regulation of membrane repolarization during action potential [GO:0098903]; regulation of voltage-gated calcium channel activity [GO:1901385]; T cell receptor signaling pathway [GO:0050852]	cytosol [GO:0005829]; L-type voltage-gated calcium channel complex [GO:1990454]; membrane [GO:0016020]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891]; calcium channel regulator activity [GO:0005246]; high voltage-gated calcium channel activity [GO:0008331]; voltage-gated calcium channel activity [GO:0005245]; calcium ion transmembrane transport via high voltage-gated calcium channel [GO:0061577]; calcium ion transport [GO:0006816]; calcium ion transport into cytosol [GO:0060402]; chemical synaptic transmission [GO:0007268]; neuromuscular junction development [GO:0007528]; positive regulation of high voltage-gated calcium channel activity [GO:1901843]; protein localization to plasma membrane [GO:0072659]; regulation of membrane repolarization during action potential [GO:0098903]; regulation of voltage-gated calcium channel activity [GO:1901385]; T cell receptor signaling pathway [GO:0050852]	GO:0005245; GO:0005246; GO:0005829; GO:0005891; GO:0006816; GO:0007268; GO:0007528; GO:0008331; GO:0016020; GO:0045202; GO:0050852; GO:0060402; GO:0061577; GO:0072659; GO:0098903; GO:1901385; GO:1901843; GO:1990454	7557998; 8119293; 14702039; 16541075; 15489334; 12181424; 19807924; 29742403; 34234349
CACNB3	F8VNV8	unreviewed	F8VNV8_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3 (Calcium channel voltage-dependent subunit beta 3)	CACNB3	Homo sapiens (Human)	457	regulation of ion transmembrane transport [GO:0034765]	cytoplasm [GO:0005737]; voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]; regulation of ion transmembrane transport [GO:0034765]	GO:0005245; GO:0005737; GO:0005891; GO:0034765	16541075
CACNB3	F8VU10	unreviewed	F8VU10_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	55		voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]	GO:0005245; GO:0005891	16541075
CACNB3	F8VUW8	unreviewed	F8VUW8_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	122		voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]	GO:0005245; GO:0005891	16541075
CACNB3	F8VV14	unreviewed	F8VV14_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	151		cytoplasm [GO:0005737]	GO:0005737	16541075
CACNB3	F8VWK1	unreviewed	F8VWK1_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	144		voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]	GO:0005245; GO:0005891	16541075
CACNB3	F8W0F8	unreviewed	F8W0F8_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	105				16541075
CACNB3	F8W1N3	unreviewed	F8W1N3_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	37				16541075
CACNB3	H0YHK1	unreviewed	H0YHK1_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	84				16541075
CACNB3	H0YHY2	unreviewed	H0YHY2_HUMAN	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	Homo sapiens (Human)	76				16541075
TMEM156	Q8N614	reviewed	TM156_HUMAN	Transmembrane protein 156	TMEM156	Homo sapiens (Human)	296		membrane [GO:0016020]	GO:0016020	14702039; 15489334
TMEM156	J3KNV8	unreviewed	J3KNV8_HUMAN	Transmembrane protein 156	TMEM156	Homo sapiens (Human)	179		membrane [GO:0016020]	GO:0016020	15815621
FAM3B	P58499	reviewed	FAM3B_HUMAN	Protein FAM3B (Cytokine-like protein 2-21) (Pancreatic-derived factor) (PANDER)	FAM3B C21orf11 C21orf76 PRED44 UNQ320/PRO365	Homo sapiens (Human)	235	apoptotic process [GO:0006915]; glucose homeostasis [GO:0042593]; insulin secretion [GO:0030073]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; cytokine activity [GO:0005125]; apoptotic process [GO:0006915]; glucose homeostasis [GO:0042593]; insulin secretion [GO:0030073]	GO:0005125; GO:0005576; GO:0005615; GO:0006915; GO:0030073; GO:0042593; GO:0070062	11707072; 12160727; 12975309; 15489334; 16114871
FAM3B	A8MTF8	unreviewed	A8MTF8_HUMAN	Protein FAM3B	FAM3B	Homo sapiens (Human)	258	glucose homeostasis [GO:0042593]; insulin secretion [GO:0030073]	extracellular region [GO:0005576]; glucose homeostasis [GO:0042593]; insulin secretion [GO:0030073]	GO:0005576; GO:0030073; GO:0042593	10830953
HSPA1A	P0DMV8	reviewed	HS71A_HUMAN	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	HSPA1A HSP72 HSPA1 HSX70	Homo sapiens (Human)	641	ATP metabolic process [GO:0046034]; cellular heat acclimation [GO:0070370]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated protein complex assembly [GO:0051131]; lysosomal transport [GO:0007041]; mRNA catabolic process [GO:0006402]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of endoribonuclease activity [GO:1902380]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of RNA splicing [GO:0033120]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein ubiquitination [GO:0031396]; response to unfolded protein [GO:0006986]; vesicle-mediated transport [GO:0016192]	aggresome [GO:0016235]; blood microparticle [GO:0072562]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; inclusion body [GO:0016234]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; vesicle [GO:0031982]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein disaggregase activity [GO:0140545]; ATP-dependent protein folding chaperone [GO:0140662]; C3HC4-type RING finger domain binding [GO:0055131]; cadherin binding [GO:0045296]; denatured protein binding [GO:0031249]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; signaling receptor binding [GO:0005102]; transcription corepressor activity [GO:0003714]; transcription regulator inhibitor activity [GO:0140416]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; virus receptor activity [GO:0001618]; ATP metabolic process [GO:0046034]; cellular heat acclimation [GO:0070370]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated protein complex assembly [GO:0051131]; lysosomal transport [GO:0007041]; mRNA catabolic process [GO:0006402]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of endoribonuclease activity [GO:1902380]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of RNA splicing [GO:0033120]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein ubiquitination [GO:0031396]; response to unfolded protein [GO:0006986]; vesicle-mediated transport [GO:0016192]	GO:0000122; GO:0001618; GO:0001664; GO:0003714; GO:0003723; GO:0005102; GO:0005524; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005783; GO:0005813; GO:0005814; GO:0005829; GO:0005886; GO:0005925; GO:0006402; GO:0006986; GO:0007041; GO:0008285; GO:0010628; GO:0016192; GO:0016234; GO:0016235; GO:0016607; GO:0016887; GO:0019899; GO:0030308; GO:0030512; GO:0031072; GO:0031249; GO:0031396; GO:0031397; GO:0031625; GO:0031982; GO:0032436; GO:0032757; GO:0032991; GO:0033120; GO:0034599; GO:0034605; GO:0034620; GO:0042026; GO:0042826; GO:0043066; GO:0044183; GO:0045296; GO:0045648; GO:0046034; GO:0047485; GO:0048471; GO:0050821; GO:0051082; GO:0051085; GO:0051092; GO:0051131; GO:0051787; GO:0055131; GO:0060548; GO:0070062; GO:0070370; GO:0070434; GO:0071383; GO:0072562; GO:0090063; GO:0090084; GO:0097718; GO:0140416; GO:0140545; GO:0140662; GO:1901029; GO:1901673; GO:1902236; GO:1902380; GO:1903265; GO:1904813; GO:1990904; GO:2001240	3931075; 1700760; 14656967; 14702039; 14574404; 15489334; 2538825; 3786141; 23349634; 7935376; 9499401; 11274138; 12853476; 15963462; 15383005; 17081983; 17233114; 16537599; 17182002; 17289661; 17947705; 18620420; 18691976; 19413330; 19608861; 20053985; 20068231; 21269460; 21081504; 22528486; 22905912; 23973223; 23921388; 23186163; 24270810; 24012426; 24613385; 24318877; 24790089; 25281747; 24275569; 24129315; 25944712; 27133716; 26865365; 27137183; 27708256; 28842558; 10216320; 20179333; 20072699; 20223214; 21608060
HSPA1A	A8K5I0	unreviewed	A8K5I0_HUMAN	Epididymis secretory protein Li 103 (Epididymis secretory sperm binding protein) (HSPA1A) (HSPA1B) (Heat shock 70kDa protein 1A) (Heat shock 70kDa protein 1B) (cDNA FLJ75127, highly similar to Homo sapiens heat shock 70kDa protein 1A, mRNA)	HEL-S-103 HSPA1A HSPA1B hCG_1820593 hCG_43726	Homo sapiens (Human)	641		ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	GO:0005524; GO:0140662	11181995
HSPA1A	V9GZ37	unreviewed	V9GZ37_HUMAN	Heat shock 70 kDa protein 1A	HSPA1A	Homo sapiens (Human)	476		ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	GO:0005524; GO:0140662	14574404; 17081983; 18691976; 19413330; 19608861; 20068231; 21269460; 23186163; 24275569; 24129315; 25944712
SLC25A23	Q9BV35	reviewed	SCMC3_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3 (Mitochondrial ATP-Mg/Pi carrier protein 2) (Mitochondrial Ca(2+)-dependent solute carrier protein 2) (Small calcium-binding mitochondrial carrier protein 3) (Solute carrier family 25 member 23)	SLC25A23 APC2 MCSC2 SCAMC3	Homo sapiens (Human)	468	calcium import into the mitochondrion [GO:0036444]; cellular response to calcium ion [GO:0071277]; mitochondrial calcium ion transmembrane transport [GO:0006851]; positive regulation of mitochondrial calcium ion concentration [GO:0051561]; regulation of cellular hyperosmotic salinity response [GO:1900069]; regulation of oxidative phosphorylation [GO:0002082]; regulation of sequestering of calcium ion [GO:0051282]; urea homeostasis [GO:0097274]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ATP transmembrane transporter activity [GO:0005347]; calcium ion binding [GO:0005509]; calcium import into the mitochondrion [GO:0036444]; cellular response to calcium ion [GO:0071277]; mitochondrial calcium ion transmembrane transport [GO:0006851]; positive regulation of mitochondrial calcium ion concentration [GO:0051561]; regulation of cellular hyperosmotic salinity response [GO:1900069]; regulation of oxidative phosphorylation [GO:0002082]; regulation of sequestering of calcium ion [GO:0051282]; urea homeostasis [GO:0097274]	GO:0002082; GO:0005347; GO:0005509; GO:0005739; GO:0005743; GO:0006851; GO:0036444; GO:0051282; GO:0051561; GO:0071277; GO:0097274; GO:1900069	15054102; 15123600; 15716113; 14702039; 15489334; 15801905; 24430870
SLC25A23	M0QZJ5	unreviewed	M0QZJ5_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23	Homo sapiens (Human)	236	transmembrane transport [GO:0055085]	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085	15057824
SLC25A23	M0QZP9	unreviewed	M0QZP9_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23	Homo sapiens (Human)	99		membrane [GO:0016020]	GO:0016020	15057824
SLC25A23	M0QZT4	unreviewed	M0QZT4_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23	Homo sapiens (Human)	278	transmembrane transport [GO:0055085]	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085	15057824
SLC25A23	M0R1W8	unreviewed	M0R1W8_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23	Homo sapiens (Human)	216	transmembrane transport [GO:0055085]	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085	15057824
SLC25A23	M0R1X8	unreviewed	M0R1X8_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23	Homo sapiens (Human)	77		calcium ion binding [GO:0005509]	GO:0005509	15057824
SLC25A23	M0R2F3	unreviewed	M0R2F3_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23	Homo sapiens (Human)	90	transmembrane transport [GO:0055085]	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085	15057824
SLC25A23	M0R2I4	unreviewed	M0R2I4_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23	Homo sapiens (Human)	131	transmembrane transport [GO:0055085]	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085	15057824
SLC25A23	Q4LBC4	unreviewed	Q4LBC4_HUMAN	Mitochondrial ATP-Mg/Pi carrier protein	SLC25A23	Homo sapiens (Human)	58		membrane [GO:0016020]	GO:0016020	
SLC25A23	Q4LBC5	unreviewed	Q4LBC5_HUMAN	Mitochondrial ATP-Mg/Pi carrier protein	SLC25A23	Homo sapiens (Human)	57		membrane [GO:0016020]	GO:0016020	
RPS5	P46782	reviewed	RS5_HUMAN	40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]	RPS5	Homo sapiens (Human)	204	cytoplasmic translation [GO:0002181]; regulation of translational fidelity [GO:0006450]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]; translational initiation [GO:0006413]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; regulation of translational fidelity [GO:0006450]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]; translational initiation [GO:0006413]	GO:0000028; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005654; GO:0005737; GO:0005829; GO:0005840; GO:0005925; GO:0006412; GO:0006413; GO:0006450; GO:0016020; GO:0019843; GO:0022626; GO:0022627; GO:0070062; GO:1990904	7772601; 11875025; 14702039; 15489334; 9582194; 8706699; 14654843; 19413330; 19608861; 21269460; 22223895; 23186163; 24524803; 24275569; 25944712; 28112733; 23636399
RPS5	A0A024R4Q8	unreviewed	A0A024R4Q8_HUMAN	Ribosomal protein S5, isoform CRA_a	RPS5 hCG_201358	Homo sapiens (Human)	204	translation [GO:0006412]	small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0006412; GO:0015935	11181995
RPS5	M0QZN2	unreviewed	M0QZN2_HUMAN	40S ribosomal protein S5	RPS5	Homo sapiens (Human)	134	translation [GO:0006412]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; translation [GO:0006412]	GO:0005840; GO:0006412; GO:1990904	15057824; 19413330; 21269460; 22223895; 23186163; 24275569; 25944712
